date	AAPL	COST	MSFT	NVDA	SPY	TSLA
2023-10-31	-0.0025700210825064795	-0.022160884012331072	0.07081544095933534	-0.06250720040586366	-0.02170869830482436	-0.19734635377632148
2023-11-30	0.11378030817398677	0.0749182238864774	0.12294543214364761	0.14688582200613864	0.0913439289820448	0.19537943740621833
2023-12-29	0.01358248970860898	0.13893187286694997	-0.007574357589863467	0.05893425006675379	0.04565537122034469	0.03498831153123483
2024-01-31	-0.042227134594945426	0.05272098793094182	0.05728112007278008	0.2424175144482701	0.015926386296623463	-0.2462572581033916
2024-02-29	-0.01854317611786449	0.07210377382585853	0.04231845391203004	0.2858094897827532	0.05218685306039639	0.07790064669600238
2024-03-29	-0.051286376683144064	-0.015136539133635663	0.01711621546174502	0.14218115699009215	0.03270183957409856	-0.12923524353897475
2024-04-30	-0.006706228166982853	-0.011697257165040331	-0.0746101736858592	-0.04376019824927779	-0.04031944462057968	0.042607689739043275
2024-05-31	0.13022209012990693	0.12033471204632096	0.06819097973030264	0.26887108088361367	0.05057975699451989	-0.02837187354253501
2024-06-28	0.09555268340620593	0.04951291546616843	0.07665059646480299	0.12694301257600626	0.03527998068344762	0.11118599982126098
2024-07-31	0.054410857279600044	-0.03155303298334555	-0.06398920220504367	-0.052776456629770374	0.012109151894954095	0.17278149180183244
2024-08-30	0.03235348509861469	0.08562046981962013	-0.0010951369484436535	0.020082108099932716	0.023365580095614957	-0.0773904690267696
2024-09-30	0.017467274048228454	-0.006566705893659819	0.031548120220337816	0.01742803138700255	0.021004698565106228	0.22194201175563144
2024-10-31	-0.03042919963095314	-0.01391957391900922	-0.055658727308506295	0.09321479744708316	-0.008923670613701695	-0.045025412068364745
2024-11-29	0.05170692422492418	0.1132391167652902	0.04419237566905343	0.0413528406323993	0.059633414664085116	0.3814688622385136
2024-12-31	0.055155291044891586	-0.05721900362818355	-0.004628587300083975	-0.028576882153825034	-0.02406008195782694	0.17000808915631316
2025-01-31	-0.05758324593089459	0.06942276976552963	-0.015278644099779304	-0.10589023649201901	0.026856310796173677	0.0018819576379678349
2025-02-28	0.02587240700071991	0.07132373491663246	-0.041618141050649204	0.04039306589811753	-0.012694776777301908	-0.2758773935575025
2025-03-31	-0.0815001347836245	-0.09806322206629092	-0.05440933445104257	-0.132324908063841	-0.05571919842012785	-0.11543452131892018
2025-04-30	-0.043353014323267214	0.05151304321717887	0.05293158280475718	0.004982471519607401	-0.008670139114213993	0.08874826236685496
2025-05-30	-0.05358406523857118	0.04729543494706179	0.16683985530871492	0.24063535721768625	0.06284494761614745	0.2278848417863253
2025-06-30	0.021508544579914135	-0.04829936801402135	0.08048057152578059	0.16925162601006294	0.05138613494267763	-0.08312644606383923
2025-07-31	0.011697684229461824	-0.05081115716016382	0.07255576181506562	0.12583067873165943	0.023031548217528286	-0.02955995259140498
2025-08-29	0.11963891074454747	0.005307223742163858	-0.048691700401007454	-0.02074550257324248	0.020519507582030583	0.08304410748975077
