date	AAPL	COST	MSFT	NVDA	SPY	TSLA
2023-09-29	169.5492706298828	546.1106567382812	311.06231689453125	43.475830078125	417.86566162109375	250.22000122070312
2023-10-31	169.11355590820312	534.0084228515625	333.0903625488281	40.75827407836914	408.7943115234375	200.83999633789062
2023-11-30	188.35531616210938	574.015380859375	374.0422058105469	46.74508285522461	446.13519287109375	240.0800018310547
2023-12-29	190.91366577148438	653.764404296875	371.20916748046875	49.49997329711914	466.5036926269531	248.47999572753906
2024-01-31	182.85191345214844	688.2313842773438	392.472412109375	61.499637603759766	473.93341064453125	187.2899932861328
2024-02-29	179.4612579345703	737.8555908203125	409.08123779296875	79.07682037353516	498.6665344238281	201.8800048828125
2024-03-29	170.25733947753906	726.6868896484375	416.0831604003906	90.3200454711914	514.9739379882812	175.7899932861328
2024-04-30	169.1155548095703	718.1867065429688	385.03912353515625	86.36762237548828	494.2103271484375	183.27999877929688
2024-05-31	191.13815307617188	804.6095581054688	411.2953186035156	109.5893783569336	519.2073364257812	178.0800018310547
2024-06-28	209.40191650390625	844.4480590820312	442.8213806152344	123.50098419189453	537.5250854492188	197.8800048828125
2024-07-31	220.795654296875	817.8031616210938	414.4855651855469	116.98303985595703	544.0339965820312	232.07000732421875
2024-08-30	227.93917846679688	887.8237915039062	414.03167724609375	119.33230590820312	556.7456665039062	214.11000061035156
2024-09-30	231.92063903808594	881.9937744140625	427.09356689453125	121.41203308105469	568.4398803710938	261.6300048828125
2024-10-31	224.8634796142578	869.7167358398438	403.3220520019531	132.72943115234375	563.367431640625	249.85000610351562
2024-11-29	236.490478515625	968.2027587890625	421.1458435058594	138.21817016601562	596.9629516601562	345.1600036621094
2024-12-31	249.5341796875	912.8031616210938	419.1965637207031	134.26832580566406	582.5999145507812	403.8399963378906
2025-01-31	235.16519165039062	976.1724853515625	412.791748046875	120.05062103271484	598.2463989257812	404.6000061035156
2025-02-28	241.24948120117188	1045.7967529296875	395.6121520996094	124.89983367919922	590.6517944335938	292.9800109863281
2025-03-31	221.58761596679688	943.2425537109375	374.087158203125	108.37247467041016	557.7411499023438	259.1600036621094
2025-04-30	211.9811248779297	991.8318481445312	393.88818359375	108.91243743896484	552.9054565429688	282.1600036621094
2025-05-30	200.622314453125	1038.740966796875	459.60443115234375	135.12062072753906	587.6527709960938	346.4599914550781
2025-06-30	204.93740844726562	988.5704345703125	496.5936584472656	157.99000549316406	617.8499755859375	317.6600036621094
2025-07-31	207.33470153808594	938.3400268554688	532.6243896484375	177.8699951171875	632.0800170898438	308.2699890136719
2025-08-29	232.13999938964844	943.3200073242188	506.69000244140625	174.17999267578125	645.0499877929688	333.8699951171875
