index	return	risk	AAPL	COST	MSFT	NVDA	SPY	TSLA
0	0.019069282975288444	0.03503247632983216	0.141369514352568	3.88288979423894e-18	0.0	0.0	0.8586304856474319	2.2247532022155572e-17
1	0.019564951849507663	0.03530227785641384	0.10210458553883787	0.04363893758248276	2.4519121549888197e-18	0.0011364400411104396	0.8531200368375689	0.0
2	0.02006062072372346	0.035719146838037986	0.1035380290817994	0.04812768346161774	0.0	0.010806214514730598	0.8375280729418523	4.52123945501968e-19
3	0.02055628959793986	0.03615809782080191	0.1049714695941983	0.05261643916580379	0.0	0.020475987466514318	0.8219361037734836	4.498813140539861e-19
4	0.021051958472141856	0.03661833670983012	0.10640492527915263	0.05710519124030348	3.0432020117920915e-18	0.030145762192534634	0.8063441212880093	0.0
5	0.021547627346372646	0.037099071241309546	0.10783835823311037	0.061593934015720726	0.0	0.039815536151138045	0.7907521716000309	3.303731922381444e-20
6	0.02204329622058904	0.03759951527261332	0.10927181063159412	0.0660826856141233	2.49891022101017e-19	0.049485310655013784	0.7751601930992686	0.0
7	0.022538965094805435	0.03811889254291967	0.11070525537558606	0.07057143279064447	2.107235030240296e-18	0.059155085065820165	0.7595682267679493	0.0
8	0.023034633969021823	0.038656439914421574	0.11213869451777615	0.07506018251334083	0.0	0.06882485866673714	0.7439762643021459	0.0
9	0.023530302843238222	0.03921141011505921	0.11357213990166082	0.07954893043962734	3.9375442293494253e-19	0.07849463303656143	0.7283842966221504	0.0
10	0.024025971717454617	0.03978307401095224	0.11500557913720509	0.08403767792145282	0.0	0.08816440693300293	0.7127923360083391	8.362913996405111e-20
11	0.024521640591671008	0.040370722442209184	0.11643902823406135	0.08852642886543803	6.915728348948539e-19	0.0978341812360083	0.6972003616644923	0.0
12	0.025017309465872994	0.04097366765917937	0.11787247116098688	0.09301518475829335	0.0	0.10750395437158898	0.6816083897091307	2.5653536279275306e-19
13	0.025512978340103798	0.04159124439809697	0.11930590905038162	0.09750392300760277	4.951963477751532e-19	0.11717372933659279	0.6660164386054228	0.0
14	0.026008647214325355	0.04222281063494168	0.1207393484083206	0.1019926716051829	0.0	0.12684350310056328	0.6504244768859332	1.2590183790649053e-19
15	0.026504316088495624	0.042867748056502473	0.12217280222556555	0.1064814156902565	0.0	0.1365132786897401	0.6348325033944379	2.979020823024972e-20
16	0.026999984962767377	0.043525462285475186	0.12360624115079163	0.11097017206698191	0.0	0.1461830514194561	0.6192405353627705	0.0
17	0.027495653836983765	0.04419538289326262	0.12503967762968698	0.11545891634027187	0.0	0.15585282548969703	0.6036485805403442	0.0
18	0.02799132271118577	0.04487696323497748	0.12647312415506012	0.11994765878172783	1.4510876047933233e-19	0.16552260066132396	0.5880566164018881	0.0
19	0.028486991585392932	0.04556968013384506	0.12790657422752283	0.12443642570838097	1.974172281028728e-20	0.17519237299796145	0.5724646270661349	0.0
20	0.028982660459604133	0.04627303344286284	0.12934003333919056	0.1289251747248955	0.0	0.18486214841207776	0.5568726435238363	0.0
21	0.029478329333831883	0.04698618115250322	0.13039383246826963	0.13344712652770077	4.531626267810507e-20	0.19435712623937157	0.5406069370316522	0.0011949777330058436
22	0.02997399820804854	0.04770673810304035	0.13110352336791303	0.13799951593164259	1.1583175553702557e-19	0.2036942371576884	0.5237349499572438	0.003467773585512167
23	0.030469667082276736	0.04843408590170019	0.13180906261444528	0.14255605831584367	3.8116482626443515e-20	0.21303042455335117	0.5068636023089848	0.005740852207375169
24	0.03096533595648131	0.049167923177699115	0.1325145488906011	0.147112610185207	6.88214269644119e-20	0.22236660592796217	0.48999230213625933	0.008013932859970459
25	0.03146100483068731	0.04990796367177682	0.13322004031037232	0.1516691460149239	0.0	0.2317027898622943	0.4731210108055888	0.010287013006820594
26	0.03195667370492448	0.05065393550259952	0.133925496160954	0.15622567927425324	0.0	0.241038970936772	0.45624975941821105	0.012560094209809615
27	0.032452342579122974	0.05140558045304969	0.13463099652925065	0.16078221677006538	4.1081097941833554e-20	0.2503751558624505	0.43937846023920213	0.014833170599031246
28	0.03294801145335727	0.052162653280988146	0.13533646170108038	0.16533873970283225	1.736417541871316e-20	0.25971133890428455	0.42250720648956824	0.017106253202234634
29	0.03344368032755288	0.05292492105504768	0.13604195244194822	0.16989530957736035	2.1175823681357512e-21	0.2690475183495867	0.4056358857373792	0.019379333893725724
30	0.03393934920176926	0.053692162517797314	0.13674743596730415	0.17445183416758855	0.0	0.27838370297529424	0.38876461224501735	0.02165241464479567
31	0.03443501807600933	0.054464167475264134	0.13745288156994806	0.17900837223806804	0.0	0.2877198828732258	0.371893370286627	0.023925493032131158
32	0.03493068695019568	0.05524073621415122	0.13815836558328345	0.18356491701082406	0.0	0.29705606445965443	0.3550220748991908	0.02619857804704733
33	0.03542635582442133	0.05602167894642562	0.13886385757025227	0.18812144624835778	0.0	0.3063922499195594	0.33815079353660127	0.02847165272522937
34	0.03592202469863484	0.056806815279931984	0.1395693403235603	0.19267797716636675	0.0	0.31572843360611236	0.32127951490095225	0.030744734003008273
35	0.03641769357287204	0.05759597371607906	0.14027480316922988	0.19723450847593207	0.0	0.3250646155839177	0.30440825799642385	0.03301781477449639
36	0.0369133624470884	0.05838899117242759	0.14098026425955015	0.20179104292885025	6.1409888675936775e-21	0.3344007969520596	0.2875369998403489	0.035290896019191116
37	0.03740903132128691	0.059185712530486365	0.14168576873824787	0.20634760549336795	0.0	0.34373697896401334	0.270665673941769	0.037563972862601894
38	0.03790470019547674	0.059985990207096926	0.1423912501083895	0.21090416111774332	0.0	0.3530731590199501	0.25379437265314597	0.039837057100771074
